"id","mes_atual","mes_anterior","unidade","investimento_total","investimento_mes_anterior","variacao_investimento","cliques_total","cliques_mes_anterior","variacao_cliques","roi","taxa_conversao_lead","taxa_conversao_cadastro"
276,"2022-06-01",NULL,"1213925972283556","3984.32",NULL,NULL,3363,NULL,NULL,"0.00","0.00",NULL
30,"2022-07-01","2022-06-01","1213925972283556","5295.52","3984.32","32.91",2941,3363,"0.00","0.00","0.00",NULL
224,"2022-08-01","2022-07-01","1213925972283556","2987.63","5295.52","-43.58",1125,2941,"0.00","0.00","0.00",NULL
272,"2022-09-01","2022-08-01","1213925972283556","2162.17","2987.63","-27.63",874,1125,"0.00","0.00","0.00",NULL
48,"2022-10-01","2022-09-01","1213925972283556","2886.58","2162.17","33.50",2744,874,"200.00","0.00","0.00",NULL
110,"2022-11-01","2022-10-01","1213925972283556","4981.24","2886.58","72.57",3427,2744,"0.00","0.00","0.00",NULL
106,"2022-12-01","2022-11-01","1213925972283556","1817.98","4981.24","-63.50",2116,3427,"0.00","0.00",NULL,NULL
149,"2023-01-01","2022-12-01","1213925972283556","1681.95","1817.98","-7.48",2390,2116,"0.00","0.00",NULL,NULL
86,"2023-02-01","2023-01-01","1213925972283556","3983.93","1681.95","136.86",808,2390,"0.00","0.00","0.00",NULL
186,"2023-03-01","2023-02-01","1213925972283556","3356.06","3983.93","-15.76",865,808,"0.00","0.00","0.00",NULL
105,"2023-04-01","2023-03-01","1213925972283556","2000.00","3356.06","-40.41",2208,865,"100.00","0.00",NULL,NULL
275,"2023-06-01",NULL,"1213925972283556","2599.73",NULL,NULL,2685,NULL,NULL,"2.54","62.86","100.00"
183,"2023-07-01","2023-06-01","1213925972283556","3768.10","2599.73","44.94",4036,2685,"0.00","0.56","7.09","100.00"
70,"2023-08-01","2023-07-01","1213925972283556","3501.87","3768.10","-7.07",2106,4036,"0.00","2.20","452.94","100.00"
76,"2023-09-01","2023-08-01","1213925972283556","727.42","3501.87","-79.23",662,2106,"0.00","0.00","0.00",NULL
73,"2023-10-01","2023-09-01","1213925972283556","50.00","727.42","-93.13",66,662,"0.00","0.00","0.00",NULL
238,"2023-11-01","2023-10-01","1213925972283556","2641.26","50.00","5182.52",1054,66,"1400.00","0.00","0.00",NULL
20,"2023-12-01","2023-11-01","1213925972283556","5000.24","2641.26","89.31",2643,1054,"100.00","0.00","0.00",NULL
64,"2024-01-01","2023-12-01","1213925972283556","8348.76","5000.24","66.97",5546,2643,"100.00","0.00","0.00",NULL
200,"2024-02-01","2024-01-01","1213925972283556","6575.53","8348.76","-21.24",3050,5546,"0.00","0.00","0.00",NULL
26,"2024-03-01","2024-02-01","1213925972283556","5154.46","6575.53","-21.61",2404,3050,"0.00","0.00","0.00",NULL
203,"2024-04-01","2024-03-01","1213925972283556","73.25","5154.46","-98.58",62,2404,"0.00","0.00","0.00",NULL
83,"2024-05-01","2024-04-01","1213925972283556","2241.01","73.25","2959.40",888,62,"1300.00","0.00","0.00",NULL
197,"2024-06-01","2024-05-01","1213925972283556","4647.75","2241.01","107.40",1582,888,"0.00","0.00","0.00",NULL
36,"2024-07-01","2024-06-01","1213925972283556","5053.93","4647.75","8.74",1781,1582,"0.00","0.00","0.00",NULL
180,"2024-08-01","2024-07-01","1213925972283556","2732.84","5053.93","-45.93",990,1781,"0.00","0.00","0.00",NULL
115,"2024-09-01","2024-08-01","1213925972283556","2061.52","2732.84","-24.56",532,990,"0.00","0.00","0.00",NULL
129,"2024-10-01","2024-09-01","1213925972283556","776.44","2061.52","-62.34",287,532,"0.00","0.00","0.00",NULL
