"id","mes","unidade","investimento_total","cliques_total","leads_total","conversas_total","cadastros_total","custo_por_conversa","custo_por_lead","custo_por_cadastro"
30,"2022-06-01","1213925972283556","3984.32",3363,0,1,0,"3984.32",NULL,NULL
241,"2022-07-01","1213925972283556","5295.52",2941,0,81,0,"65.38",NULL,NULL
293,"2022-08-01","1213925972283556","2987.63",1125,0,107,0,"27.92",NULL,NULL
51,"2022-09-01","1213925972283556","2162.17",874,0,32,0,"67.57",NULL,NULL
119,"2022-10-01","1213925972283556","2886.58",2744,0,4,0,"721.65",NULL,NULL
115,"2022-11-01","1213925972283556","4981.24",3427,0,34,0,"146.51",NULL,NULL
161,"2022-12-01","1213925972283556","1817.98",2116,0,0,0,NULL,NULL,NULL
93,"2023-01-01","1213925972283556","1681.95",2390,0,0,0,NULL,NULL,NULL
200,"2023-02-01","1213925972283556","3983.93",808,0,113,0,"35.26",NULL,NULL
114,"2023-03-01","1213925972283556","3356.06",865,0,160,0,"20.98",NULL,NULL
46,"2023-04-01","1213925972283556","2000.00",2208,0,0,0,NULL,NULL,NULL
197,"2023-06-01","1213925972283556","2599.73",2685,66,105,66,"24.76","39.39","39.39"
75,"2023-07-01","1213925972283556","3768.10",4036,21,296,21,"12.73","179.43","179.43"
82,"2023-08-01","1213925972283556","3501.87",2106,77,17,77,"205.99","45.48","45.48"
78,"2023-09-01","1213925972283556","727.42",662,0,146,0,"4.98",NULL,NULL
255,"2023-10-01","1213925972283556","50.00",66,0,33,0,"1.52",NULL,NULL
20,"2023-11-01","1213925972283556","2641.26",1054,0,321,0,"8.23",NULL,NULL
69,"2023-12-01","1213925972283556","5000.24",2643,0,643,0,"7.78",NULL,NULL
217,"2024-01-01","1213925972283556","8348.76",5546,0,928,0,"9.00",NULL,NULL
26,"2024-02-01","1213925972283556","6575.53",3050,0,630,0,"10.44",NULL,NULL
220,"2024-03-01","1213925972283556","5154.46",2404,0,581,0,"8.87",NULL,NULL
89,"2024-04-01","1213925972283556","73.25",62,0,10,0,"7.33",NULL,NULL
213,"2024-05-01","1213925972283556","2241.01",888,0,169,0,"13.26",NULL,NULL
37,"2024-06-01","1213925972283556","4647.75",1582,0,467,0,"9.95",NULL,NULL
194,"2024-07-01","1213925972283556","5053.93",1781,0,351,0,"14.40",NULL,NULL
124,"2024-08-01","1213925972283556","2732.84",990,0,140,0,"19.52",NULL,NULL
141,"2024-09-01","1213925972283556","2061.52",532,0,67,0,"30.77",NULL,NULL
111,"2024-10-01","1213925972283556","776.44",287,0,2,0,"388.22",NULL,NULL
180,"2024-11-01","1213925972283556","4223.56",1117,0,163,0,"25.91",NULL,NULL
132,"2024-12-01","1213925972283556","3190.16",870,0,173,0,"18.44",NULL,NULL
283,"2022-06-01","260541305274163","2428.30",1206,0,12,0,"202.36",NULL,NULL
18,"2022-07-01","260541305274163","4500.58",3891,0,0,0,NULL,NULL,NULL
86,"2022-08-01","260541305274163","1577.31",180,0,45,0,"35.05",NULL,NULL
36,"2022-09-01","260541305274163","2962.57",605,0,243,0,"12.19",NULL,NULL
264,"2022-11-01","260541305274163","4790.22",579,0,129,0,"37.13",NULL,NULL
131,"2022-12-01","260541305274163","6579.98",1918,0,491,0,"13.40",NULL,NULL
153,"2023-01-01","260541305274163","6579.98",2461,0,711,0,"9.25",NULL,NULL
144,"2023-02-01","260541305274163","6395.18",2073,0,455,0,"14.06",NULL,NULL
192,"2023-03-01","260541305274163","6579.98",1808,0,440,0,"14.95",NULL,NULL
222,"2023-04-01","260541305274163","5972.62",1520,0,270,0,"22.12",NULL,NULL
291,"2023-05-01","260541305274163","3098.56",1014,0,239,0,"12.96",NULL,NULL
23,"2023-06-01","260541305274163","5991.85",1663,0,290,0,"20.66",NULL,NULL
288,"2023-07-01","260541305274163","6373.10",1911,0,515,0,"12.37",NULL,NULL
70,"2023-08-01","260541305274163","6629.03",2450,0,548,0,"12.10",NULL,NULL
269,"2023-09-01","260541305274163","6579.98",3008,0,375,0,"17.55",NULL,NULL
223,"2023-10-01","260541305274163","6579.98",2073,0,282,0,"23.33",NULL,NULL
261,"2023-11-01","260541305274163","6579.98",1362,0,80,0,"82.25",NULL,NULL
272,"2023-12-01","260541305274163","6579.98",1807,0,54,0,"121.85",NULL,NULL
159,"2024-01-01","260541305274163","6579.98",1690,0,397,0,"16.57",NULL,NULL
195,"2024-02-01","260541305274163","6579.98",1891,0,360,0,"18.28",NULL,NULL
80,"2024-03-01","260541305274163","6579.98",1964,0,436,0,"15.09",NULL,NULL
13,"2024-05-01","260541305274163","6579.98",3233,0,141,0,"46.67",NULL,NULL
221,"2024-06-01","260541305274163","6579.98",1891,0,442,0,"14.89",NULL,NULL
19,"2024-07-01","260541305274163","6579.98",2532,0,664,0,"9.91",NULL,NULL
55,"2024-08-01","260541305274163","5309.92",1840,0,575,0,"9.23",NULL,NULL
65,"2024-09-01","260541305274163","6753.74",2051,0,582,0,"11.60",NULL,NULL
165,"2024-10-01","260541305274163","5000.00",1274,0,236,0,"21.19",NULL,NULL
128,"2024-11-01","260541305274163","5500.00",1138,0,302,0,"18.21",NULL,NULL
202,"2024-12-01","260541305274163","4596.27",1728,0,389,0,"11.82",NULL,NULL
179,"2022-06-01","3028903027343475","6489.10",2283,87,0,87,NULL,"74.59","74.59"
149,"2022-07-01","3028903027343475","6481.14",1636,91,0,91,NULL,"71.22","71.22"
207,"2022-08-01","3028903027343475","3609.47",425,41,0,41,NULL,"88.04","88.04"
262,"2022-09-01","3028903027343475","5549.02",1535,7,0,7,NULL,"792.72","792.72"
158,"2022-10-01","3028903027343475","3250.00",2298,15,0,15,NULL,"216.67","216.67"
212,"2022-11-01","3028903027343475","5044.60",2191,79,0,79,NULL,"63.86","63.86"
198,"2022-12-01","3028903027343475","6420.41",2682,31,0,31,NULL,"207.11","207.11"
27,"2023-01-01","3028903027343475","6255.54",6041,7,0,7,NULL,"893.65","893.65"
289,"2023-02-01","3028903027343475","4963.23",4733,0,0,0,NULL,NULL,NULL
150,"2023-03-01","3028903027343475","5871.73",1075,62,0,62,NULL,"94.71","94.71"
237,"2023-04-01","3028903027343475","2499.99",242,20,0,20,NULL,"125.00","125.00"
142,"2023-05-01","3028903027343475","6491.67",1181,128,60,128,"108.19","50.72","50.72"
112,"2023-06-01","3028903027343475","6548.99",1160,120,41,120,"159.73","54.57","54.57"
174,"2023-07-01","3028903027343475","6549.11",1324,96,80,96,"81.86","68.22","68.22"
266,"2023-08-01","3028903027343475","6550.00",1642,109,110,109,"59.55","60.09","60.09"
214,"2023-09-01","3028903027343475","5017.56",1262,154,68,154,"73.79","32.58","32.58"
35,"2023-10-01","3028903027343475","5435.24",1759,151,68,151,"79.93","35.99","35.99"
273,"2023-11-01","3028903027343475","5700.00",1171,157,67,157,"85.07","36.31","36.31"
133,"2023-12-01","3028903027343475","5143.55",2427,79,103,79,"49.94","65.11","65.11"
121,"2024-01-01","3028903027343475","1766.05",611,0,207,0,"8.53",NULL,NULL
176,"2024-02-01","3028903027343475","6550.00",3556,0,209,0,"31.34",NULL,NULL
136,"2024-03-01","3028903027343475","4500.00",6548,0,137,0,"32.85",NULL,NULL
208,"2024-05-01","3028903027343475","5902.34",991,0,169,0,"34.93",NULL,NULL
175,"2024-06-01","3028903027343475","4254.06",723,0,150,0,"28.36",NULL,NULL
229,"2024-07-01","3028903027343475","6408.57",1105,0,334,0,"19.19",NULL,NULL
157,"2024-08-01","3028903027343475","4498.93",831,0,220,0,"20.45",NULL,NULL
253,"2024-09-01","3028903027343475","13203.82",2177,0,463,0,"28.52",NULL,NULL
103,"2024-10-01","3028903027343475","2646.80",783,0,227,0,"11.66",NULL,NULL
163,"2024-11-01","3028903027343475","6253.20",1069,4,246,4,"25.42","1563.30","1563.30"
216,"2024-12-01","3028903027343475","4799.67",1035,0,208,0,"23.08",NULL,NULL
41,"2022-06-01","341867950349467","18.57",34,0,0,0,NULL,NULL,NULL
248,"2022-07-01","341867950349467","847.11",1522,0,0,0,NULL,NULL,NULL
181,"2022-08-01","341867950349467","567.68",937,0,0,0,NULL,NULL,NULL
148,"2022-09-01","341867950349467","2096.80",2415,16,0,16,NULL,"131.05","131.05"
205,"2022-10-01","341867950349467","3949.62",204,29,0,29,NULL,"136.19","136.19"
16,"2022-11-01","341867950349467","6384.84",1794,309,43,309,"148.48","20.66","20.66"
2,"2022-12-01","341867950349467","3744.10",922,231,31,231,"120.78","16.21","16.21"
129,"2023-01-01","341867950349467","6550.00",4328,425,56,425,"116.96","15.41","15.41"
274,"2023-02-01","341867950349467","4995.23",1280,78,224,78,"22.30","64.04","64.04"
166,"2023-03-01","341867950349467","6153.12",1875,277,401,277,"15.34","22.21","22.21"
109,"2023-04-01","341867950349467","1230.92",573,0,90,0,"13.68",NULL,NULL
258,"2023-05-01","341867950349467","658.16",493,0,56,0,"11.75",NULL,NULL
15,"2023-06-01","341867950349467","6554.97",4556,0,421,0,"15.57",NULL,NULL
11,"2023-07-01","341867950349467","2973.59",2355,0,235,0,"12.65",NULL,NULL
182,"2023-08-01","341867950349467","6578.20",14234,0,267,0,"24.64",NULL,NULL
77,"2023-09-01","341867950349467","3180.50",1308,0,286,0,"11.12",NULL,NULL
40,"2023-10-01","341867950349467","1819.43",4284,0,45,0,"40.43",NULL,NULL
170,"2023-11-01","341867950349467","3105.76",17647,0,122,0,"25.46",NULL,NULL
239,"2023-12-01","341867950349467","6569.43",13776,0,485,0,"13.55",NULL,NULL
190,"2024-01-01","341867950349467","8056.26",14485,0,587,0,"13.72",NULL,NULL
171,"2024-02-01","341867950349467","1565.93",669,0,217,0,"7.22",NULL,NULL
233,"2024-03-01","341867950349467","2943.00",1158,0,373,0,"7.89",NULL,NULL
31,"2024-04-01","341867950349467","0.00",0,0,1,0,"0.00",NULL,NULL
29,"2024-05-01","341867950349467","6550.00",1799,0,278,0,"23.56",NULL,NULL
42,"2024-06-01","341867950349467","1963.21",1172,0,372,0,"5.28",NULL,NULL
48,"2024-07-01","341867950349467","3819.26",1374,0,359,0,"10.64",NULL,NULL
188,"2024-08-01","341867950349467","2017.73",704,0,156,0,"12.93",NULL,NULL
228,"2024-09-01","341867950349467","1000.00",293,0,122,0,"8.20",NULL,NULL
104,"2024-10-01","341867950349467","417.16",127,0,75,0,"5.56",NULL,NULL
10,"2024-11-01","341867950349467","7748.46",1581,0,348,0,"22.27",NULL,NULL
53,"2024-12-01","341867950349467","4779.39",1153,0,283,0,"16.89",NULL,NULL
282,"2022-06-01","413233799949309","2705.31",575,0,40,0,"67.63",NULL,NULL
140,"2022-07-01","413233799949309","6001.30",1200,0,52,0,"115.41",NULL,NULL
199,"2022-08-01","413233799949309","1059.42",1321,0,2,0,"529.71",NULL,NULL
251,"2022-09-01","413233799949309","2859.11",1764,3,7,3,"408.44","953.04","953.04"
24,"2022-10-01","413233799949309","1796.25",1106,0,23,0,"78.10",NULL,NULL
39,"2022-11-01","413233799949309","6515.43",5805,0,71,0,"91.77",NULL,NULL
196,"2022-12-01","413233799949309","3060.58",2317,0,76,0,"40.27",NULL,NULL
94,"2023-01-01","413233799949309","2615.00",3419,0,43,0,"60.81",NULL,NULL
79,"2023-02-01","413233799949309","200.00",373,0,0,0,NULL,NULL,NULL
108,"2023-03-01","413233799949309","556.99",109,13,18,13,"30.94","42.85","42.85"
143,"2023-05-01","413233799949309","4099.86",1013,0,188,0,"21.81",NULL,NULL
123,"2023-06-01","413233799949309","4350.00",1494,235,78,235,"55.77","18.51","18.51"
155,"2023-07-01","413233799949309","6299.99",6068,131,117,131,"53.85","48.09","48.09"
60,"2023-08-01","413233799949309","6588.31",1780,163,69,163,"95.48","40.42","40.42"
257,"2023-09-01","413233799949309","1040.27",637,82,74,82,"14.06","12.69","12.69"
265,"2023-10-01","413233799949309","106.00",70,8,10,8,"10.60","13.25","13.25"
249,"2023-11-01","413233799949309","6588.31",2130,271,127,271,"51.88","24.31","24.31"
286,"2023-12-01","413233799949309","4941.23",1897,224,106,224,"46.62","22.06","22.06"
87,"2024-01-01","413233799949309","4941.23",2414,277,149,277,"33.16","17.84","17.84"
226,"2024-02-01","413233799949309","4941.23",2198,214,127,214,"38.91","23.09","23.09"
122,"2024-03-01","413233799949309","3965.81",1318,178,115,178,"34.49","22.28","22.28"
62,"2024-04-01","413233799949309","0.00",0,0,1,0,"0.00",NULL,NULL
12,"2024-05-01","413233799949309","5499.98",2569,130,184,130,"29.89","42.31","42.31"
8,"2024-06-01","413233799949309","6588.31",2232,193,78,193,"84.47","34.14","34.14"
245,"2024-07-01","413233799949309","6588.31",2072,173,91,173,"72.40","38.08","38.08"
113,"2024-08-01","413233799949309","6000.00",1984,143,93,143,"64.52","41.96","41.96"
76,"2024-09-01","413233799949309","6000.00",1351,115,82,115,"73.17","52.17","52.17"
4,"2024-10-01","413233799949309","2915.23",789,94,75,94,"38.87","31.01","31.01"
